id_address,fulladdress,addresstype_nameaddresstype,flooraddress,descriptionaddress
95,Санкт-Петербург Верхняя Улица 26,Standart,1,
96,Санкт-Петербург Интернациональная Улица 10,Standart,1,
97,Санкт-Петербург Садовый Переулок 21,Standart,1,
98,Санкт-Петербург Раздоровская Улица 33,Standart,1,
99,Санкт-Петербург Железнодорожная Улица 1,Standart,1,
100,Санкт-Петербург Новая Улица 26,Standart,1,
101,Санкт-Петербург Подстанция Улица 3,Standart,1,
102,Санкт-Петербург Кооперативная Улица 14,Standart,1,
103,Санкт-Петербург Яркая Улица 11,Standart,1,
104,Санкт-Петербург Строительная Улица 1,Standart,1,
105,Санкт-Петербург Ленинский Переулок 12,Standart,1,
106,Санкт-Петербург Первомайская Улица 29,Standart,1,
107,Санкт-Петербург Школьная Улица 3,Standart,1,
108,Санкт-Петербург Строительная Улица 1,Standart,1,
109,Санкт-Петербург Братская Улица 6,Standart,1,
110,Санкт-Петербург Советская Улица 24,Standart,1,
111,Санкт-Петербург Гаражный Переулок 16,Standart,1,
112,Санкт-Петербург А.Ханукаева Улица 35,Standart,1,
113,Санкт-Петербург Светлая Улица 34,Standart,1,
114,Санкт-Петербург Комсомольская Улица 24,Standart,1,
115,Санкт-Петербург Обзорная Улица 26,Standart,1,
116,Санкт-Петербург Мезенцевская Улица 29,Standart,1,
117,Санкт-Петербург Школьный Переулок 25,Standart,1,
118,Санкт-Петербург Новая Улица 23,Standart,1,
119,Санкт-Петербург Советская Улица 33,Standart,1,
120,Санкт-Петербург Семетская Улица 10,Standart,1,
121,Санкт-Петербург Нефтяников Улица 17,Standart,1,
122,Санкт-Петербург Рассказова Улица 12,Standart,1,
123,Санкт-Петербург Уральская Улица 8,Standart,1,
124,Санкт-Петербург Водрайон Улица 23,Standart,1,
125,Санкт-Петербург Восточный Микрорайон 10,Standart,1,
126,Санкт-Петербург Свободы Улица 17,Standart,1,
127,Санкт-Петербург Понаморева Улица 27,Standart,1,
128,Санкт-Петербург Комсомольская Улица 4,Standart,1,
129,Санкт-Петербург Байчорова Улица 10,Standart,1,
130,Санкт-Петербург 6-я Улица 35,Standart,1,
131,Санкт-Петербург Крайняя Улица 18,Standart,1,
132,Санкт-Петербург Лесная Улица 35,Standart,1,
133,Санкт-Петербург Гильчинская Улица 20,Standart,1,
134,Санкт-Петербург ДНП Большое Петровское Дачное неком-е партнерство 31,Standart,1,
135,Санкт-Петербург Партизанская Улица 35,Standart,1,
136,Санкт-Петербург Весенняя Улица 15,Standart,1,
137,Санкт-Петербург Широкая Улица 22,Standart,1,
138,Санкт-Петербург Заречная Улица 26,Standart,1,
139,Санкт-Петербург Парковая Улица 24,Standart,1,
140,Санкт-Петербург Восточная Улица 7,Standart,1,
141,Санкт-Петербург Советская Улица 14,Standart,1,
142,Санкт-Петербург Полянская Улица 21,Standart,1,
143,Санкт-Петербург Набережная Улица 33,Standart,1,
144,Санкт-Петербург Пролетарская Улица 23,Standart,1,
145,Санкт-Петербург Рабочая Улица 6,Standart,1,
146,Санкт-Петербург Лесная Улица 4,Standart,1,
147,Санкт-Петербург Герцена Улица 29,Standart,1,
148,Санкт-Петербург Школьная Улица 5,Standart,1,
149,Санкт-Петербург Кирсаловская Улица 20,Standart,1,
150,Санкт-Петербург Комсомольская Улица 9,Standart,1,
151,Санкт-Петербург Дорожный Переулок 34,Standart,1,
152,Санкт-Петербург Солнечная Улица 12,Standart,1,
153,Санкт-Петербург СНТ Радость Сад 13,Standart,1,
154,Санкт-Петербург Водрайон Улица 10,Standart,1,
155,Санкт-Петербург Майская Улица 9,Standart,1,
156,Санкт-Петербург Гагарина Улица 16,Standart,1,
157,Санкт-Петербург Юности Улица 15,Standart,1,
158,Санкт-Петербург Нагорный Переулок 20,Standart,1,
159,Санкт-Петербург Чернолуцкого Улица 7,Standart,1,
160,Санкт-Петербург Рассветная Улица 1,Standart,1,
161,Санкт-Петербург Школьная Улица 12,Standart,1,
162,Санкт-Петербург Лесная Улица 25,Standart,1,
163,Санкт-Петербург Степана Халтурина Улица 28,Standart,1,
164,Санкт-Петербург Проселочная Улица 22,Standart,1,
165,Санкт-Петербург Рассветная Улица 17,Standart,1,
166,Санкт-Петербург Новая 1 Улица 31,Standart,1,
167,Санкт-Петербург Молодежная Улица 26,Standart,1,
168,Санкт-Петербург Набережная Улица 2,Standart,1,
169,Санкт-Петербург Южная Улица 31,Standart,1,
170,Санкт-Петербург Пермская Улица 23,Standart,1,
171,Санкт-Петербург Почтовый Переулок 23,Standart,1,
172,Санкт-Петербург Елицкая Улица 17,Standart,1,
173,Санкт-Петербург Селляхская Улица 35,Standart,1,
174,Санкт-Петербург Липовая Улица 12,Standart,1,
175,Санкт-Петербург Якупова Улица 29,Standart,1,
176,Санкт-Петербург Крестьянская 1-я Улица 3,Standart,1,
177,Санкт-Петербург Кирпичная Улица 32,Standart,1,
178,Санкт-Петербург Зеленая Улица 10,Standart,1,
179,Санкт-Петербург Садовый Переулок 15,Standart,1,
180,Санкт-Петербург Сиреневая Улица 5,Standart,1,
181,Санкт-Петербург Осенняя Улица 11,Standart,1,
182,Санкт-Петербург Коммунальная Улица 4,Standart,1,
183,Санкт-Петербург Приозерная Улица 17,Standart,1,
184,Санкт-Петербург Красногвардейский Переулок 22,Standart,1,
185,Санкт-Петербург 1-й Переулок 4,Standart,1,
186,Санкт-Петербург Рыбацкий Переулок 4,Standart,1,
187,Санкт-Петербург Центральная Улица 24,Standart,1,
188,Санкт-Петербург Береговая Улица 35,Standart,1,
189,Санкт-Петербург Етима Эмина Улица 33,Standart,1,
190,Санкт-Петербург Полевая Улица 5,Standart,1,
191,Санкт-Петербург Рябиновая Улица 21,Standart,1,
192,Санкт-Петербург Новая Улица 22,Standart,1,
193,Санкт-Петербург Заречная Улица 14,Standart,1,
194,Санкт-Петербург Кафэнская Улица 5,Standart,1,
195,Санкт-Петербург Советская Улица 4,Standart,1,
196,Санкт-Петербург Выселковая Улица 35,Standart,1,
197,Санкт-Петербург Заречная Улица 22,Standart,1,
198,Санкт-Петербург Садовая Улица 15,Standart,1,
199,Санкт-Петербург Лесная Улица 8,Standart,1,
200,Санкт-Петербург Ягодная Улица 33,Standart,1,
201,Санкт-Петербург Новая стройка 10,Standart,1,
202,Санкт-Петербург Дачная Улица 2,Standart,1,
203,Санкт-Петербург Восточный Переулок 34,Standart,1,
204,Санкт-Петербург Молодежная Улица 35,Standart,1,
205,Санкт-Петербург 1-й Переулок 30,Standart,1,
206,Санкт-Петербург Пионерская Улица 1,Standart,1,
207,Санкт-Петербург Комсомольская Улица 19,Standart,1,
208,Санкт-Петербург Водопроводная Улица 23,Standart,1,
209,Санкт-Петербург Нагорная Улица 5,Standart,1,
210,Санкт-Петербург Молодежный Переулок 34,Standart,1,
211,Санкт-Петербург Москва Улица 4,Standart,1,
212,Санкт-Петербург Победы Улица 10,Standart,1,
213,Санкт-Петербург Курганская Улица 14,Standart,1,
214,Санкт-Петербург Трактовая Улица 22,Standart,1,
215,Санкт-Петербург Гранковская 6-я Улица 5,Standart,1,
216,Санкт-Петербург Советская Улица 24,Standart,1,
217,Санкт-Петербург Молодежная Улица 18,Standart,1,
218,Санкт-Петербург Прудная Улица 2,Standart,1,
219,Санкт-Петербург Нефтебаза Улица 9,Standart,1,
220,Санкт-Петербург Вахитова Улица 19,Standart,1,
221,Санкт-Петербург Закаменская Улица 31,Standart,1,
222,Санкт-Петербург Мелиораторов Переулок 19,Standart,1,
223,Санкт-Петербург Заречная Улица 2,Standart,1,
224,Санкт-Петербург Береговая Улица 7,Standart,1,
225,Санкт-Петербург Маяковского Улица 17,Standart,1,
226,Санкт-Петербург Первомайская Улица 19,Standart,1,
227,Санкт-Петербург Ульянова Проезд 31,Standart,1,
228,Санкт-Петербург Зеленый Переулок 19,Standart,1,
229,Санкт-Петербург Набережная Улица 35,Standart,1,
230,Санкт-Петербург Центральная Улица 2,Standart,1,
231,Санкт-Петербург Кооперативный Переулок 16,Standart,1,
232,Санкт-Петербург Набережная Улица 6,Standart,1,
233,Санкт-Петербург Аносова Улица 26,Standart,1,
234,Санкт-Петербург Сосновая Улица 17,Standart,1,
235,Санкт-Петербург Центральный Переулок 2,Standart,1,
236,Санкт-Петербург Яблоневая Улица 2,Standart,1,
237,Санкт-Петербург Набережная Улица 31,Standart,1,
238,Санкт-Петербург Зеленая Улица 22,Standart,1,
239,Санкт-Петербург Лесной Переулок 30,Standart,1,
240,Санкт-Петербург Комендантская Улица 16,Standart,1,
241,Санкт-Петербург Ю.Венгеровского Переулок 29,Standart,1,
242,Санкт-Петербург Садовая Улица 5,Standart,1,
243,Санкт-Петербург Бограда Улица 11,Standart,1,
244,Санкт-Петербург Молодежная Улица 26,Standart,1,
245,Санкт-Петербург Молодежная Улица 13,Standart,1,
246,Санкт-Петербург Российский Переулок 17,Standart,1,
247,Санкт-Петербург Луговая Улица 2,Standart,1,
248,Санкт-Петербург Дачная Улица 32,Standart,1,
249,Санкт-Петербург Полевая Улица 30,Standart,1,
250,Санкт-Петербург Историческая Улица 20,Standart,1,
251,Санкт-Петербург Госпитальный Переулок 17,Standart,1,
252,Санкт-Петербург Набережная Улица 18,Standart,1,
253,Санкт-Петербург Нагорная Улица 26,Standart,1,
254,Санкт-Петербург Сельпо Переулок 11,Standart,1,
255,Санкт-Петербург Николая Филиппова Улица 4,Standart,1,
256,Санкт-Петербург Цветочная Улица 9,Standart,1,
257,Санкт-Петербург Южная Улица 3,Standart,1,
258,Санкт-Петербург Комсомольская Улица 29,Standart,1,
259,Санкт-Петербург Энергетиков Улица 8,Standart,1,
260,Санкт-Петербург Береговая Улица 5,Standart,1,
261,Санкт-Петербург Весенняя Улица 4,Standart,1,
262,Санкт-Петербург Южная Улица 19,Standart,1,
263,Санкт-Петербург Почтовый Переулок 5,Standart,1,
264,Санкт-Петербург Профсоюзная Улица 21,Standart,1,
265,Санкт-Петербург Толстого Улица 11,Standart,1,
266,Санкт-Петербург Строительная Улица 11,Standart,1,
267,Санкт-Петербург Озерный Переулок 4,Standart,1,
268,Санкт-Петербург Яркая Улица 20,Standart,1,
269,Санкт-Петербург Центральная Улица 10,Standart,1,
270,Санкт-Петербург Гагарина Улица 12,Standart,1,
271,Санкт-Петербург Спортивная Улица 6,Standart,1,
272,Санкт-Петербург Южная Улица 1,Standart,1,
273,Санкт-Петербург Строительная Улица 1,Standart,1,
274,Санкт-Петербург Нагорная Улица 30,Standart,1,
275,Санкт-Петербург Молодежная Улица 3,Standart,1,
276,Санкт-Петербург Комсомольская Улица 23,Standart,1,
277,Санкт-Петербург Первомайская Улица 10,Standart,1,
278,Санкт-Петербург Начальная Переулок 15,Standart,1,
279,Санкт-Петербург Дружбы Улица 11,Standart,1,
280,Санкт-Петербург Молодежная Улица 22,Standart,1,
281,Санкт-Петербург Клубная Улица 35,Standart,1,
282,Санкт-Петербург Угловая Улица 4,Standart,1,
283,Санкт-Петербург Крылова Улица 29,Standart,1,
284,Санкт-Петербург Первомайская Улица 26,Standart,1,
285,Санкт-Петербург Кленовый Переулок 32,Standart,1,
286,Санкт-Петербург Степана Разина Улица 27,Standart,1,
287,Санкт-Петербург Садовая Улица 18,Standart,1,
288,Санкт-Петербург Стрелецкая Улица 17,Standart,1,
289,Санкт-Петербург Лесная Улица 32,Standart,1,
290,Санкт-Петербург Городок Квартал 25,Standart,1,
291,Санкт-Петербург Юбилейная Улица 20,Standart,1,
292,Санкт-Петербург Островского Улица 10,Standart,1,
293,Санкт-Петербург Озерный Переулок 33,Standart,1,
294,Санкт-Петербург Редочная Улица 14,Standart,1,
295,Санкт-Петербург Строителей Улица 6,Standart,1,
296,Санкт-Петербург Майская Улица 30,Standart,1,
297,Санкт-Петербург Красногвардейский Переулок 10,Standart,1,
298,Санкт-Петербург Энергетиков Улица 29,Standart,1,
299,Санкт-Петербург Спортивный проезд Улица 23,Standart,1,
300,Санкт-Петербург Лесной Переулок 9,Standart,1,
301,Санкт-Петербург Котовского Улица 22,Standart,1,
302,Санкт-Петербург Профсоюзная Улица 32,Standart,1,
303,Санкт-Петербург Таежный Переулок 9,Standart,1,
304,Санкт-Петербург Любимежская Улица 12,Standart,1,
305,Санкт-Петербург Белинского Улица 18,Standart,1,
306,Санкт-Петербург Садовая Улица 34,Standart,1,
307,Санкт-Петербург Железнодорожная Улица 22,Standart,1,
308,Санкт-Петербург Новомосковская Улица 21,Standart,1,
309,Санкт-Петербург Заречная Улица 24,Standart,1,
310,Санкт-Петербург Широкая Улица 4,Standart,1,
311,Санкт-Петербург Лесная Улица 24,Standart,1,
312,Санкт-Петербург Кавказская Улица 14,Standart,1,
313,Санкт-Петербург Ломоносова Улица 34,Standart,1,
314,Санкт-Петербург В.Терешковой Улица 33,Standart,1,
315,Санкт-Петербург Больничная Улица 29,Standart,1,
316,Санкт-Петербург ДНТ Жемчуг Спортивный Переулок 35,Standart,1,
317,Санкт-Петербург Волгоградская Улица 19,Standart,1,
318,Санкт-Петербург Лесная Улица 3,Standart,1,
319,Санкт-Петербург Дачный Переулок 17,Standart,1,
320,Санкт-Петербург Тейфука Улица 32,Standart,1,
321,Санкт-Петербург Солнечная Улица 26,Standart,1,
322,Санкт-Петербург 70 лет Октября Улица 6,Standart,1,
323,Санкт-Петербург Лесхозный Переулок 13,Standart,1,
324,Санкт-Петербург Речная Улица 27,Standart,1,
325,Санкт-Петербург Лесная Улица 11,Standart,1,
326,Санкт-Петербург Новая Улица 21,Standart,1,
327,Санкт-Петербург Северная Улица 14,Standart,1,
328,Санкт-Петербург Мамонова Улица 22,Standart,1,
329,Санкт-Петербург Российская Улица 20,Standart,1,
330,Санкт-Петербург Новая Улица 28,Standart,1,
331,Санкт-Петербург Заречная Улица 35,Standart,1,
332,Санкт-Петербург Коммунальная Улица 14,Standart,1,
333,Санкт-Петербург Ягодная Улица 27,Standart,1,
334,Санкт-Петербург Садовая Улица 1,Standart,1,
335,Санкт-Петербург Комаринская Улица 4,Standart,1,
336,Санкт-Петербург Заречная Улица 8,Standart,1,
337,Санкт-Петербург Центральная Улица 33,Standart,1,
338,Санкт-Петербург Дачная Улица 6,Standart,1,
339,Санкт-Петербург Родниковый Переулок 12,Standart,1,
340,Санкт-Петербург Восточная Улица 32,Standart,1,
341,Санкт-Петербург Кирова Улица 27,Standart,1,
342,Санкт-Петербург Молодежная Улица 14,Standart,1,
343,Санкт-Петербург Майский Переулок 27,Standart,1,
344,Санкт-Петербург Ровная Улица 5,Standart,1,
345,Санкт-Петербург Сельский Переулок 2,Standart,1,
346,Санкт-Петербург Садовая Улица 24,Standart,1,
347,Санкт-Петербург Школьный Переулок 25,Standart,1,
348,Санкт-Петербург Сагарга Улица 27,Standart,1,
349,Санкт-Петербург Парковая 1-я Улица 10,Standart,1,
350,Санкт-Петербург Лавренева Улица 13,Standart,1,
351,Санкт-Петербург Фабричная Улица 27,Standart,1,
352,Санкт-Петербург Новая Улица 19,Standart,1,
353,Санкт-Петербург Южная Улица 30,Standart,1,
354,Санкт-Петербург Сагарга Улица 20,Standart,1,
355,Санкт-Петербург Садовая Улица 32,Standart,1,
356,Санкт-Петербург Центральная Улица 28,Standart,1,
357,Санкт-Петербург Луговая Улица 9,Standart,1,
358,Санкт-Петербург Садовая Улица 27,Standart,1,
359,Санкт-Петербург Закаменская Улица 29,Standart,1,
360,Санкт-Петербург Промышленная Улица 21,Standart,1,
361,Санкт-Петербург Советская Улица 11,Standart,1,
362,Санкт-Петербург Энергетиков Улица 27,Standart,1,
363,Санкт-Петербург Труда Улица 22,Standart,1,
364,Санкт-Петербург Прудовая Улица 2,Standart,1,
365,Санкт-Петербург Кузнечная Улица 20,Standart,1,
366,Санкт-Петербург Деревенский Переулок 13,Standart,1,
367,Санкт-Петербург Пушкина Переулок 3,Standart,1,
368,Санкт-Петербург Солнечная Улица 16,Standart,1,
369,Санкт-Петербург Дачная Улица 23,Standart,1,
370,Санкт-Петербург Тихая Улица 1,Standart,1,
371,Санкт-Петербург Трудовая Улица 18,Standart,1,
372,Санкт-Петербург Победы Улица 5,Standart,1,
373,Санкт-Петербург Таежная Улица 23,Standart,1,
374,Санкт-Петербург Пригородное хозяйство 2 Улица 10,Standart,1,
375,Санкт-Петербург Пионерская Улица 25,Standart,1,
376,Санкт-Петербург Луговая Улица 29,Standart,1,
377,Санкт-Петербург Цветочная Улица 33,Standart,1,
378,Санкт-Петербург Госпитальный Переулок 24,Standart,1,
379,Санкт-Петербург Первомайская Улица 3,Standart,1,
380,Санкт-Петербург Ангасерок Улица 16,Standart,1,
381,Санкт-Петербург Уютная Улица 5,Standart,1,
382,Санкт-Петербург Юбилейная Улица 34,Standart,1,
383,Санкт-Петербург Дивная Улица 13,Standart,1,
384,Санкт-Петербург Заречная Улица 12,Standart,1,
385,Санкт-Петербург Южная Улица 4,Standart,1,
386,Санкт-Петербург Наумовская Улица 24,Standart,1,
387,Санкт-Петербург Обручева Переулок 20,Standart,1,
388,Санкт-Петербург Степной Переулок 31,Standart,1,
389,Санкт-Петербург Лавренева Улица 9,Standart,1,
390,Санкт-Петербург Береговая Улица 18,Standart,1,
391,Санкт-Петербург Трудовой Переулок 5,Standart,1,
392,Санкт-Петербург Рабочая Улица 26,Standart,1,
393,Санкт-Петербург Заозерная Улица 7,Standart,1,
394,Санкт-Петербург Лесная Улица 5,Standart,1,
395,Санкт-Петербург Мира Улица 15,Standart,1,
396,Санкт-Петербург Лавренева Улица 21,Standart,1,
397,Санкт-Петербург Коллективная Улица 2,Standart,1,
398,Санкт-Петербург Лесная Улица 2,Standart,1,
399,Санкт-Петербург Круглая Улица 17,Standart,1,
400,Санкт-Петербург Кирова Переулок 21,Standart,1,
401,Санкт-Петербург Лесная Улица 22,Standart,1,
402,Санкт-Петербург Лесная Улица 8,Standart,1,
403,Санкт-Петербург Пушкинская Улица 33,Standart,1,
404,Санкт-Петербург Липовая Улица 22,Standart,1,
405,Санкт-Петербург Торопецкая Улица 30,Standart,1,
406,Санкт-Петербург Набережная Улица 24,Standart,1,
407,Санкт-Петербург Школьная Улица 32,Standart,1,
408,Санкт-Петербург Набережная Улица 26,Standart,1,
409,Санкт-Петербург Кирпичный завод Улица 33,Standart,1,
410,Санкт-Петербург Гагарина Улица 13,Standart,1,
411,Санкт-Петербург Кирова Улица 9,Standart,1,
412,Санкт-Петербург Новый Переулок 3,Standart,1,
413,Санкт-Петербург ДНП Большое Петровское Дачное неком-е партнерство 3,Standart,1,
414,Санкт-Петербург Полевая Улица 17,Standart,1,
415,Санкт-Петербург Заозерная Улица 3,Standart,1,
416,Санкт-Петербург Березовая Роща Поселок 33,Standart,1,
417,Санкт-Петербург Почтовая Улица 19,Standart,1,
418,Санкт-Петербург Колхозный Переулок 29,Standart,1,
419,Санкт-Петербург Юбилейная Улица 9,Standart,1,
420,Санкт-Петербург Кутузова Улица 16,Standart,1,
421,Санкт-Петербург Луговая Улица 9,Standart,1,
422,Санкт-Петербург Весенний Переулок 3,Standart,1,
423,Санкт-Петербург 2-й Микрорайон 28,Standart,1,
424,Санкт-Петербург Октябрьская Улица 8,Standart,1,
425,Санкт-Петербург Большевиков Площадь 27,Standart,1,
426,Санкт-Петербург Дорожный Переулок 18,Standart,1,
427,Санкт-Петербург Летний Переулок 32,Standart,1,
428,Санкт-Петербург 60 лет Победы Улица 21,Standart,1,
429,Санкт-Петербург Молодежный Переулок 29,Standart,1,
430,Санкт-Петербург Восточный Переулок 10,Standart,1,
431,Санкт-Петербург Набережная Улица 33,Standart,1,
432,Санкт-Петербург Южный Переулок 14,Standart,1,
433,Санкт-Петербург Молодежная Улица 23,Standart,1,
434,Санкт-Петербург Байчорова Улица 16,Standart,1,
435,Санкт-Петербург Заводская Улица 35,Standart,1,
436,Санкт-Петербург Восточный Переулок 10,Standart,1,
437,Санкт-Петербург Тимирязева Улица 13,Standart,1,
438,Санкт-Петербург Сиреневый Проулок 9,Standart,1,
439,Санкт-Петербург Зеленая Улица 6,Standart,1,
440,Санкт-Петербург Тихий Переулок 10,Standart,1,
441,Санкт-Петербург Дорожников Переулок 5,Standart,1,
442,Санкт-Петербург Заречная Улица 30,Standart,1,
443,Санкт-Петербург Колхозная Улица 2,Standart,1,
444,Санкт-Петербург Славянская Улица 16,Standart,1,
445,Санкт-Петербург Советский Переулок 35,Standart,1,
446,Санкт-Петербург Строителей Улица 32,Standart,1,
447,Санкт-Петербург Зеленый Переулок 30,Standart,1,
448,Санкт-Петербург Трактовая Улица 28,Standart,1,
449,Санкт-Петербург Речной Переулок 27,Standart,1,
450,Санкт-Петербург Большая Зеленая Улица 14,Standart,1,
451,Санкт-Петербург 1-я линия Улица 17,Standart,1,
452,Санкт-Петербург Сосновая Улица 32,Standart,1,
453,Санкт-Петербург Солнечный Переулок 13,Standart,1,
454,Санкт-Петербург Даниила Чёрного Улица 2,Standart,1,
455,Санкт-Петербург Молодёжная Улица 28,Standart,1,
456,Санкт-Петербург Тракторная Улица 26,Standart,1,
457,Санкт-Петербург 2-й Микрорайон 19,Standart,1,
458,Санкт-Петербург Волгоградская Улица 4,Standart,1,
459,Санкт-Петербург Алконовская Улица 23,Standart,1,
460,Санкт-Петербург Садовая Улица 8,Standart,1,
461,Санкт-Петербург Заводской Переулок 17,Standart,1,
462,Санкт-Петербург Солнечная Улица 23,Standart,1,
463,Санкт-Петербург Вишневый Переулок 23,Standart,1,
464,Санкт-Петербург Ковдская Улица 30,Standart,1,
465,Санкт-Петербург Колхозный Переулок 8,Standart,1,
466,Санкт-Петербург Заки Валиди Улица 10,Standart,1,
467,Санкт-Петербург Заречная Улица 20,Standart,1,
468,Санкт-Петербург Зеленая Улица 24,Standart,1,
469,Санкт-Петербург Редочная Улица 6,Standart,1,
470,Санкт-Петербург Школьный Переулок 5,Standart,1,
471,Санкт-Петербург Прохладная Улица 6,Standart,1,
472,Санкт-Петербург Новая Улица 24,Standart,1,
473,Санкт-Петербург Таежная Улица 14,Standart,1,
474,Санкт-Петербург Окская Улица 15,Standart,1,
475,Санкт-Петербург Правонабережная Улица 23,Standart,1,
476,Санкт-Петербург Выселковая Улица 6,Standart,1,
477,Санкт-Петербург Кооперативный Переулок 7,Standart,1,
